review_id,rating,sales_visit_reason,car_purchase_type,username,review_text,customer_service,friendliness,pricing,overall_experience,recommend_dealer,employee_ratings
r8508763,50,SALES VISIT - NEW,NEW,Helen,Adrian was simply amazing at meeting and exceeded my expectations on looking for a car. He was able to help me get into a new vehicle! Thank you Adrian,50,50,50,50,Yes,"[('273456', 'Adrian ""AyyDee"" Cortes', '5.0'), ('640356', 'Taylor Prickett', '5.0')]"
r8467503,50,SALES VISIT - NEW,NEW,Coopdaville02,"I want to thank Dennis, Brandon, Freddie and Taylor for a wonderful experience for vehicle sales. They stayed late to make sure that they found a great deal for me. Let’s just say I left in a 2021 Chevrolet Equinox. If anyone is looking for a new vehicle you should drive to McKaig Chevrolet Buick in Gladewater Tx and let this great team take care of you!!!!",50,50,50,50,Yes,"[('640356', 'Taylor Prickett', '5.0'), ('507162', 'Dennis Smith', '5.0'), ('479220', 'Freddie Tomlinson', '5.0'), ('507107', 'Brandon McCloskey', '5.0'), ('462729', 'Summur Villareal', '5.0')]"
r8448809,50,SALES VISIT - NEW,NEW,dessnaaron,Everyone was super nice! They were busy both days I visited and took care of everyone. Dennis and Freddie got me into the perfect car for my budget ,50,50,50,50,Yes,"[('507162', 'Dennis Smith', '5.0'), ('479220', 'Freddie Tomlinson', '5.0')]"
r8448028,45,SALES VISIT - USED,USED,Rachel Beal,Honestly the best dealership I’ve been to honestly wouldn’t go back to Kia after going to Mckaig Chevrolet. Really nice guys helping get us to where we needed to be and into the ride we came there for!! Highly recommend!!,40,50,40,50,Yes,"[('273456', 'Adrian ""AyyDee"" Cortes', '5.0')]"
r8447702,50,SALES VISIT - NEW,NEW,Hagger.lisa,"It was a great experiences s very professional. I drove from Quinlan Texas and had oil changed and tires rotated on my 2021 Chevrolet Trax.  Patrick Evans was very kind and courteous.  

Thank you, 
Lisa Hagger. ",50,50,50,50,Yes,"[('631679', 'Patrick Evans', '5.0')]"
r8447431,50,SALES VISIT - USED,USED,Happy customer.,This is the best dealer we have ever bought a car from. We drove all the way from Lindale to look at a car. Dennis was our solutions specialist and he was not pushy at all. He let us look at the car we like and did not push the sale at all. Freddie the sales manager worked on all the numbers. He got us an amazing deal for our trade in. Over $2000 more then a few other dealers offered us. He went above and beyond to get us the best deal he could. He delivered big time. We are very happy with the deal we got. Taylor was the finance manager and he made the process silky smooth. He made sure all the numbers were correct and we had all the info on the interest rates and warranty’s they offered. Over all I could not be happier with everyone that helped us. They are truly a “Dealer for the people”. Highly recommend them to anyone looking for a new or used vehicle. ,50,50,50,50,Yes,"[('640356', 'Taylor Prickett', '5.0'), ('507162', 'Dennis Smith', '5.0'), ('479220', 'Freddie Tomlinson', '5.0')]"
r8443114,50,SALES VISIT - NEW,NEW,Donovan's,"In 2019 we bought a vehicle from McKaig. After receiving an email from Adrian about trades, my husband and I decided we would give it a shot and see what would be available. Well today we brought home a brand new 2021 vehicle. Adrian was amazing, professional and even bought my kids McDonalds! You get all the brownies points from me. Thank you for all of your help and being a part of making our dream of owning a brand new vehicle come true! You are Da Bomb Dot Com! ",50,50,50,50,Yes,"[('273456', 'Adrian ""AyyDee"" Cortes', '5.0'), ('640356', 'Taylor Prickett', '5.0')]"
r8435506,50,SALES VISIT - USED,USED,scero1996,Adrian is the best… he helped get everything in order to buy our Jeep and had everything ready when we walked in to the dealership!!! Great experience!!!,50,50,50,50,Yes,"[('273456', 'Adrian ""AyyDee"" Cortes', '5.0'), ('640356', 'Taylor Prickett', '5.0'), ('479220', 'Freddie Tomlinson', '5.0')]"
r8434453,50,SALES VISIT - USED,USED,saze_75672,Kristina and Big K were exceptional in the buying process. She even checked on me after I took the vehicle home! Thanks for your help!,50,50,50,50,Yes,"[('670351', 'Kristina Manning', '5.0'), ('479220', 'Freddie Tomlinson', '5.0')]"
r8369720,50,SALES VISIT - USED,USED,jolie.basham,"These guys! 100 % on top of it. I had a budget, a trad-in, and a goal and they worked with me and stuck through it all! Ray, Freddie, Brandon, went through everything clearly, honestly, and didn't brush anything we said under the rug, or try to push us in a direction we didn't want to go. These guys go above and beyond, including saving an old USMC bear I left in my trade and making sure it was there to be picked up. They remembered our names, they made us feel like we were just sitting around having dinner...they take TIME with their customers and get to know you. We shared family stories and you just get an experience where you don't have to try and look at the salesman and sift through all the stuff you normally would expect from a salesman, because they don't do that. They listen and they respect the truth! Also, from my perspective, they didn't just talk to my husband, they spoke to me! THAT is 100% bonus in my book. And my new to me car, is in my budget WITH an extended warranty. This place.....salt of earth car sales which is a rare find!",50,50,50,50,Yes,"[('688585', 'Raymond Prazak', '5.0'), ('479220', 'Freddie Tomlinson', '5.0'), ('507107', 'Brandon McCloskey', '5.0')]"
r8425184,48,SALES VISIT - USED,USED,wweastin,"We were looking for a second vehicle and really wanted an Escape; not new, but gently used.  We found one here and when I emailed an inquiry, the response was quick and very friendly.  We met with Ray Prazack.  He dealt with all of our questions and concerns, he was extremely patient, and went above and beyond to help.  He and Dennis took very good care of us!  Financing was easy and Taylor was very accomodating.  All in all, we left with our 2019 Ford Escape extremely happy!  These people are just good people!  ",50,50,40,50,Yes,"[('688585', 'Raymond Prazak', '5.0'), ('640356', 'Taylor Prickett', '5.0'), ('507162', 'Dennis Smith', '5.0')]"
r8424132,50,SALES VISIT - USED,USED,randidavidson199,"I am from Hallsville, TX and went to Gladewater to check out Mckaig because they had a variety of options. Dennis, Taylor, and Taylon helpede find my first forever car. They were working together to make sure I got what I wanted",50,50,50,50,Yes,"[('640356', 'Taylor Prickett', '5.0'), ('507162', 'Dennis Smith', '5.0')]"
